Country,Year,Life_Expectancy,Expected_Schooling,Mean_Schooling,GNI_Per_Capita,HDI,Log_GNI
Alandia,2003,79.3,16.9,12.5,61824.5,0.913,11.032055005013607
Alandia,2004,79.5,17.0,12.5,52744.0,0.917,10.873205300793135
Alandia,2005,79.5,16.9,12.5,53724.8,0.917,10.89162999884208
Alandia,2006,79.6,17.0,12.6,54740.9,0.92,10.910366423818665
Alandia,2007,79.7,17.0,12.6,55775.2,0.922,10.929084605130251
Alandia,2008,79.8,17.1,12.7,56825.9,0.925,10.94774748669475
Alandia,2009,79.8,17.1,12.7,57883.3,0.925,10.96618419363294
Alandia,2010,80.3,17.3,12.8,59013.4,0.932,10.98551981574439
Alandia,2011,80.4,17.3,12.8,60127.3,0.935,11.004219260314665
Alandia,2012,80.3,17.3,12.8,61240.1,0.934,11.022557482689948
Alandia,2013,80.5,17.4,12.9,62408.9,0.938,11.041463172392211
Alandia,2014,80.6,17.4,12.9,63585.4,0.941,11.060139163226914
Alandia,2015,80.8,17.5,13.0,61824.5,0.943,11.032055005013607
Alandia,2016,80.7,17.5,13.0,65998.0,0.944,11.097379717519113
Alandia,2017,81.0,17.6,13.1,67260.9,0.949,11.11633436611464
Alandia,2018,81.3,17.7,13.1,68544.5,0.953,11.135238448365316
Alandia,2019,81.6,17.9,13.2,69859.5,0.958,11.154241361163724
Alandia,2020,81.5,17.8,13.2,71157.8,0.958,11.172655225056774
Alandia,2021,81.6,17.9,13.3,72499.9,0.96,11.19134046153147
Alandia,2022,81.7,17.9,13.3,73863.8,0.962,11.20997813576982
Belgique,2003,78.0,14.2,12.9,63859.8,0.895,11.064445334412945
Belgique,2004,78.4,14.3,13.0,66133.1,0.901,11.099424656932769
Belgique,2005,78.3,14.3,13.0,68442.3,0.903,11.133746333519776
Belgique,2006,78.4,14.3,13.0,70841.7,0.905,11.168203089350218
Belgique,2007,78.7,14.5,13.1,73355.2,0.911,11.203068674037208
Belgique,2008,78.7,14.4,13.1,75000.0,0.911,11.225243392518447
Belgique,2009,79.0,14.6,13.2,75000.0,0.915,11.225243392518447
Belgique,2010,79.0,14.8,13.2,75000.0,0.914,11.225243392518447
Belgique,2011,79.2,14.6,13.2,75000.0,0.917,11.225243392518447
Belgique,2012,79.5,14.7,13.3,75000.0,0.921,11.225243392518447
Belgique,2013,79.7,14.8,13.4,75000.0,0.924,11.225243392518447
Belgique,2014,79.8,14.9,13.4,75000.0,0.925,11.225243392518447
Belgique,2015,79.9,14.9,13.5,75000.0,0.927,11.225243392518447
Belgique,2016,80.1,15.0,13.5,75000.0,0.928,11.225243392518447
Belgique,2017,80.1,15.0,13.5,75000.0,0.929,11.225243392518447
Belgique,2018,80.4,15.1,13.6,75000.0,0.932,11.225243392518447
Belgique,2019,80.6,15.1,13.7,75000.0,0.934,11.225243392518447
Belgique,2020,80.9,15.3,13.7,75000.0,0.938,11.225243392518447
Belgique,2021,81.0,15.3,13.8,75000.0,0.939,11.225243392518447
Belgique,2022,80.9,15.2,13.8,75000.0,0.938,11.225243392518447
Canada,2003,77.9,16.4,11.2,64573.1,0.897,11.075553194379797
Canada,2004,78.1,16.5,11.2,66791.2,0.901,11.109326614319773
Canada,2005,78.2,16.6,11.3,69082.3,0.904,11.143053826437106
Canada,2006,78.3,16.6,11.3,71450.6,0.907,11.176761580803511
Canada,2007,78.4,16.6,11.3,73891.9,0.909,11.210358493351135
Canada,2008,78.5,16.6,11.6,75000.0,0.911,11.225243392518447
Canada,2009,78.5,16.6,11.4,75000.0,0.911,11.225243392518447
Canada,2010,78.9,16.8,11.5,75000.0,0.917,11.225243392518447
Canada,2011,78.9,16.8,11.5,75000.0,0.917,11.225243392518447
Canada,2012,79.1,16.8,11.5,75000.0,0.918,11.225243392518447
Canada,2013,79.4,17.0,11.6,75000.0,0.922,11.225243392518447
Canada,2014,79.3,16.9,11.6,75000.0,0.921,11.225243392518447
