Country,Year,Life_Expectancy,Expected_Schooling,Mean_Schooling,GNI_Per_Capita,HDI
Alandia,2003,79.3,16.9,12.5,,0.913
Alandia,2004,79.5,17.0,12.5,52744.0,0.917
Alandia,2005,79.5,16.9,12.5,53724.8,0.917
Alandia,2006,79.6,17.0,12.6,54740.9,0.92
Alandia,2007,79.7,17.0,12.6,55775.2,0.922
Alandia,2008,79.8,17.1,12.7,56825.9,0.925
Alandia,2009,79.8,17.1,12.7,57883.3,0.925
Alandia,2010,80.3,17.3,12.8,59013.4,0.932
Alandia,2011,80.4,17.3,12.8,60127.3,0.935
Alandia,2012,80.3,17.3,12.8,61240.1,0.934
Alandia,2013,80.5,17.4,12.9,62408.9,0.938
Alandia,2014,80.6,17.4,12.9,63585.4,0.941
Alandia,2015,80.8,17.5,13.0,,0.943
Alandia,2016,80.7,17.5,13.0,65998.0,0.944
Alandia,2017,81.0,17.6,13.1,67260.9,0.949
Alandia,2018,81.3,17.7,13.1,68544.5,0.953
Alandia,2019,81.6,17.9,13.2,69859.5,0.958
Alandia,2020,81.5,17.8,13.2,71157.8,0.958
Alandia,2021,81.6,17.9,13.3,72499.9,0.96
Alandia,2022,81.7,17.9,13.3,73863.8,0.962
Belgique,2003,78.0,14.2,12.9,63859.8,0.895
Belgique,2004,78.4,14.3,13.0,66133.1,0.901
Belgique,2005,78.3,14.3,13.0,68442.3,0.903
Belgique,2006,78.4,14.3,13.0,70841.7,0.905
Belgique,2007,78.7,14.5,13.1,73355.2,0.911
Belgique,2008,78.7,14.4,13.1,75000.0,0.911
Belgique,2009,79.0,14.6,13.2,75000.0,0.915
Belgique,2010,79.0,,13.2,75000.0,0.914
Belgique,2011,79.2,14.6,13.2,75000.0,0.917
Belgique,2012,79.5,14.7,13.3,75000.0,0.921
Belgique,2013,79.7,14.8,13.4,75000.0,0.924
Belgique,2014,79.8,14.9,13.4,75000.0,0.925
Belgique,2015,79.9,14.9,13.5,75000.0,0.927
Belgique,2016,80.1,15.0,13.5,75000.0,0.928
Belgique,2017,80.1,15.0,13.5,75000.0,0.929
Belgique,2018,80.4,15.1,13.6,75000.0,0.932
Belgique,2019,80.6,15.1,13.7,75000.0,0.934
Belgique,2020,80.9,15.3,13.7,75000.0,0.938
Belgique,2021,81.0,15.3,13.8,75000.0,0.939
Belgique,2022,80.9,15.2,13.8,,0.938
Canada,2003,77.9,16.4,11.2,64573.1,0.897
Canada,2004,78.1,16.5,11.2,66791.2,0.901
Canada,2005,78.2,16.6,11.3,69082.3,0.904
Canada,2006,78.3,16.6,11.3,71450.6,0.907
Canada,2007,78.4,16.6,11.3,73891.9,0.909
Canada,2008,78.5,16.6,,75000.0,0.911
Canada,2009,78.5,16.6,11.4,75000.0,0.911
Canada,2010,78.9,16.8,11.5,75000.0,0.917
Canada,2011,78.9,16.8,11.5,75000.0,0.917
Canada,2012,79.1,16.8,11.5,75000.0,0.918
Canada,2013,79.4,17.0,11.6,75000.0,0.922
Canada,2014,79.3,16.9,11.6,75000.0,0.921
Canada,2015,79.6,17.1,11.7,75000.0,0.925
Canada,2016,79.7,17.1,11.7,75000.0,0.926
Canada,2017,79.7,17.1,11.7,75000.0,0.926
Canada,2018,79.9,17.2,11.8,75000.0,0.929
Canada,2019,80.2,17.3,11.8,75000.0,0.932
Canada,2020,80.3,17.3,11.9,75000.0,0.933
Canada,2021,80.5,17.4,11.9,75000.0,0.936
Canada,2022,80.5,17.4,11.9,75000.0,0.936
Danemark,2003,80.0,15.6,11.9,32839.7,0.874
Danemark,2004,79.9,15.6,11.9,33400.1,0.875
Danemark,2005,80.2,15.8,12.0,34009.2,0.881
Danemark,2006,80.3,15.9,12.1,34616.9,0.885
Danemark,2007,80.5,16.1,12.3,35240.7,0.89
Danemark,2008,80.4,16.1,12.3,35844.1,0.891
Danemark,2009,80.5,16.2,12.4,36475.7,0.895
Danemark,2010,80.7,16.3,12.5,37124.4,0.899
Danemark,2011,80.9,16.5,12.6,37795.6,0.904
Danemark,2012,81.0,16.6,12.7,38458.5,0.907
Danemark,2013,81.0,16.7,12.8,,0.909
Danemark,2014,81.2,16.8,12.9,39833.5,0.914
Danemark,2015,81.2,16.9,12.9,40534.2,0.917
Danemark,2016,81.4,17.1,13.1,41260.2,0.922
Danemark,2017,81.4,17.1,13.1,41973.5,0.923
Danemark,2018,81.5,17.3,13.2,42720.2,0.927
Danemark,2019,81.6,17.4,13.3,43475.7,0.93
Danemark,2020,81.6,17.4,13.4,44234.4,0.933
Danemark,2021,81.9,17.6,13.5,45035.1,0.938
Danemark,2022,82.0,17.7,13.6,45831.7,0.942
Estonia,2003,77.1,15.5,11.8,39331.7,0.868
Estonia,2004,77.0,15.6,11.9,,0.87
Estonia,2005,77.3,15.8,12.0,40748.5,0.876
Estonia,2006,77.7,16.0,12.2,41505.4,0.883
Estonia,2007,77.7,16.1,12.3,42237.9,0.886
Estonia,2008,77.7,16.2,,42981.5,0.888
Estonia,2009,77.9,16.3,12.5,43761.3,0.893
Estonia,2010,78.1,16.5,12.6,44549.9,0.898
Estonia,2011,78.4,16.7,12.8,45362.8,0.904
Estonia,2012,78.5,16.8,12.9,46173.8,0.907
Estonia,2013,78.7,16.9,13.0,47002.6,0.912
Estonia,2014,78.9,,13.1,47855.2,0.917
Estonia,2015,79.1,17.3,13.2,48721.2,0.922
Estonia,2016,79.2,17.4,13.3,49590.5,0.925
Estonia,2017,79.3,17.5,13.4,50479.9,0.929
Estonia,2018,,17.7,13.6,51390.0,0.934
Estonia,2019,79.8,17.9,13.7,52322.5,0.939
Estonia,2020,79.9,18.0,13.8,53260.6,0.943
Estonia,2021,80.1,18.0,13.9,54226.9,0.947
Estonia,2022,80.1,18.0,14.0,55183.5,0.948
Finland,2003,81.5,14.7,12.4,44126.9,0.894
Finland,2004,,14.8,12.5,45490.9,0.899
Finland,2005,82.0,14.9,12.6,,0.905
Finland,2006,82.2,15.0,12.7,48338.0,0.909
Finland,2007,82.3,15.0,12.7,49816.9,0.912
Finland,2008,82.7,15.2,12.9,51368.3,0.919
Finland,2009,82.8,15.3,12.9,52939.5,0.922
Finland,2010,83.2,15.5,13.0,54586.1,0.928
Finland,2011,83.3,15.5,13.1,56253.7,
Finland,2012,83.8,15.7,13.2,58011.8,0.939
Finland,2013,83.8,15.7,13.3,59775.2,0.941
Finland,2014,84.0,15.8,13.4,61621.5,0.946
Finland,2015,84.4,16.0,13.5,63531.4,0.952
Finland,2016,84.4,16.0,13.5,65468.0,0.954
Finland,2017,84.8,16.2,13.6,67499.8,0.96
Finland,2018,85.0,16.3,13.7,69590.1,0.966
Finland,2019,85.0,16.3,13.7,71704.4,0.967
Finland,2020,85.0,16.5,13.9,73931.9,0.972
Finland,2021,85.0,16.6,14.0,75000.0,0.975
Finland,2022,85.0,16.7,14.1,75000.0,0.977
Germany,2003,79.1,15.1,12.5,61606.9,0.902
Germany,2004,79.4,15.2,12.6,63903.4,0.908
Germany,2005,79.6,15.3,12.6,66272.1,0.913
Germany,2006,79.7,15.3,,68721.9,0.916
Germany,2007,80.2,15.6,12.8,71299.9,0.924
Germany,2008,80.4,15.7,12.9,73953.0,0.93
Germany,2009,80.6,15.8,13.0,75000.0,0.934
Germany,2010,80.7,15.8,13.1,75000.0,0.935
Germany,2011,81.0,15.9,13.2,75000.0,0.939
Germany,2012,81.2,16.0,13.2,75000.0,0.942
Germany,2013,81.7,,13.4,75000.0,0.948
Germany,2014,82.0,16.4,13.5,75000.0,0.952
Germany,2015,82.1,16.4,13.6,75000.0,0.954
Germany,2016,82.5,16.6,13.7,75000.0,0.958
Germany,2017,82.5,16.6,13.7,75000.0,0.959
Germany,2018,82.9,16.8,13.8,75000.0,0.964
Germany,2019,83.0,16.8,13.9,,0.966
Germany,2020,83.3,17.0,14.0,75000.0,0.97
Germany,2021,83.7,17.1,,75000.0,0.976
Germany,2022,83.9,17.2,14.2,75000.0,0.978
Honshu,2003,80.7,16.3,12.0,51027.1,0.909
Honshu,2004,,16.5,12.1,52436.6,0.915
Honshu,2005,81.0,16.6,12.2,53861.7,0.918
Honshu,2006,81.3,16.8,12.3,55342.2,0.924
Honshu,2007,81.4,16.9,,56851.2,0.928
Honshu,2008,81.5,17.0,12.5,58398.3,0.932
Honshu,2009,81.5,17.1,12.6,59985.7,0.935
Honshu,2010,81.6,17.2,12.7,61617.6,0.938
Honshu,2011,81.9,17.3,12.8,63311.7,0.944
