Country,Year,Life_Expectancy,Expected_Schooling,Mean_Schooling,GNI_Per_Capita,HDI,HDI_Category
Alandia,2003,79.3,16.9,12.5,61824.5,0.913,3
Alandia,2004,79.5,17.0,12.5,52744.0,0.917,3
Alandia,2005,79.5,16.9,12.5,53724.8,0.917,3
Alandia,2006,79.6,17.0,12.6,54740.9,0.92,3
Alandia,2007,79.7,17.0,12.6,55775.2,0.922,3
Alandia,2008,79.8,17.1,12.7,56825.9,0.925,3
Alandia,2009,79.8,17.1,12.7,57883.3,0.925,3
Alandia,2010,80.3,17.3,12.8,59013.4,0.932,3
Alandia,2011,80.4,17.3,12.8,60127.3,0.935,3
Alandia,2012,80.3,17.3,12.8,61240.1,0.934,3
Alandia,2013,80.5,17.4,12.9,62408.9,0.938,3
Alandia,2014,80.6,17.4,12.9,63585.4,0.941,3
Alandia,2015,80.8,17.5,13.0,61824.5,0.943,3
Alandia,2016,80.7,17.5,13.0,65998.0,0.944,3
Alandia,2017,81.0,17.6,13.1,67260.9,0.949,3
Alandia,2018,81.3,17.7,13.1,68544.5,0.953,3
Alandia,2019,81.6,17.9,13.2,69859.5,0.958,3
Alandia,2020,81.5,17.8,13.2,71157.8,0.958,3
Alandia,2021,81.6,17.9,13.3,72499.9,0.96,3
Alandia,2022,81.7,17.9,13.3,73863.8,0.962,3
Belgique,2003,78.0,14.2,12.9,63859.8,0.895,3
Belgique,2004,78.4,14.3,13.0,66133.1,0.901,3
Belgique,2005,78.3,14.3,13.0,68442.3,0.903,3
Belgique,2006,78.4,14.3,13.0,70841.7,0.905,3
Belgique,2007,78.7,14.5,13.1,73355.2,0.911,3
Belgique,2008,78.7,14.4,13.1,75000.0,0.911,3
Belgique,2009,79.0,14.6,13.2,75000.0,0.915,3
Belgique,2010,79.0,14.8,13.2,75000.0,0.914,3
Belgique,2011,79.2,14.6,13.2,75000.0,0.917,3
Belgique,2012,79.5,14.7,13.3,75000.0,0.921,3
Belgique,2013,79.7,14.8,13.4,75000.0,0.924,3
Belgique,2014,79.8,14.9,13.4,75000.0,0.925,3
Belgique,2015,79.9,14.9,13.5,75000.0,0.927,3
Belgique,2016,80.1,15.0,13.5,75000.0,0.928,3
Belgique,2017,80.1,15.0,13.5,75000.0,0.929,3
Belgique,2018,80.4,15.1,13.6,75000.0,0.932,3
Belgique,2019,80.6,15.1,13.7,75000.0,0.934,3
Belgique,2020,80.9,15.3,13.7,75000.0,0.938,3
Belgique,2021,81.0,15.3,13.8,75000.0,0.939,3
Belgique,2022,80.9,15.2,13.8,75000.0,0.938,3
Canada,2003,77.9,16.4,11.2,64573.1,0.897,3
Canada,2004,78.1,16.5,11.2,66791.2,0.901,3
Canada,2005,78.2,16.6,11.3,69082.3,0.904,3
Canada,2006,78.3,16.6,11.3,71450.6,0.907,3
Canada,2007,78.4,16.6,11.3,73891.9,0.909,3
Canada,2008,78.5,16.6,11.6,75000.0,0.911,3
Canada,2009,78.5,16.6,11.4,75000.0,0.911,3
Canada,2010,78.9,16.8,11.5,75000.0,0.917,3
Canada,2011,78.9,16.8,11.5,75000.0,0.917,3
Canada,2012,79.1,16.8,11.5,75000.0,0.918,3
Canada,2013,79.4,17.0,11.6,75000.0,0.922,3
Canada,2014,79.3,16.9,11.6,75000.0,0.921,3
Canada,2015,79.6,17.1,11.7,75000.0,0.925,3
Canada,2016,79.7,17.1,11.7,75000.0,0.926,3
Canada,2017,79.7,17.1,11.7,75000.0,0.926,3
Canada,2018,79.9,17.2,11.8,75000.0,0.929,3
Canada,2019,80.2,17.3,11.8,75000.0,0.932,3
Canada,2020,80.3,17.3,11.9,75000.0,0.933,3
Canada,2021,80.5,17.4,11.9,75000.0,0.936,3
Canada,2022,80.5,17.4,11.9,75000.0,0.936,3
Danemark,2003,80.0,15.6,11.9,32839.7,0.874,3
Danemark,2004,79.9,15.6,11.9,33400.1,0.875,3
Danemark,2005,80.2,15.8,12.0,34009.2,0.881,3
Danemark,2006,80.3,15.9,12.1,34616.9,0.885,3
Danemark,2007,80.5,16.1,12.3,35240.7,0.89,3
Danemark,2008,80.4,16.1,12.3,35844.1,0.891,3
Danemark,2009,80.5,16.2,12.4,36475.7,0.895,3
Danemark,2010,80.7,16.3,12.5,37124.4,0.899,3
Danemark,2011,80.9,16.5,12.6,37795.6,0.904,3
Danemark,2012,81.0,16.6,12.7,38458.5,0.907,3
Danemark,2013,81.0,16.7,12.8,38458.5,0.909,3
Danemark,2014,81.2,16.8,12.9,39833.5,0.914,3
Danemark,2015,81.2,16.9,12.9,40534.2,0.917,3
Danemark,2016,81.4,17.1,13.1,41260.2,0.922,3
Danemark,2017,81.4,17.1,13.1,41973.5,0.923,3
Danemark,2018,81.5,17.3,13.2,42720.2,0.927,3
Danemark,2019,81.6,17.4,13.3,43475.7,0.93,3
Danemark,2020,81.6,17.4,13.4,44234.4,0.933,3
Danemark,2021,81.9,17.6,13.5,45035.1,0.938,3
